id,year,domain,value
44,2019,1 Policy design,0.264400378
44,2020,1 Policy design,0.264400378
44,2021,1 Policy design,0.264400378
44,2022,1 Policy design,0.321057602
45,2017,1 Policy design,0.321057602
45,2018,1 Policy design,0.321057602
45,2019,1 Policy design,0.321057602
45,2020,1 Policy design,71.87409506
45,2021,1 Policy design,65.08152345
45,2022,1 Policy design,71.29021089
46,2017,1 Policy design,18.94711992
46,2018,1 Policy design,80.77431539
46,2019,1 Policy design,80.77431539
46,2020,1 Policy design,80.77431539
46,2021,1 Policy design,76.44350016
46,2022,1 Policy design,76.44350016
47,2017,1 Policy design,11.91501416
47,2018,1 Policy design,11.91501416
47,2019,1 Policy design,91.05949008
47,2020,1 Policy design,93.07239534
47,2021,1 Policy design,89.06830343
47,2022,1 Policy design,89.06830343
48,2017,1 Policy design,85.00157381
48,2018,1 Policy design,85.00157381
48,2019,1 Policy design,82.76203966
48,2020,1 Policy design,82.15643689
48,2021,1 Policy design,82.81869688
48,2022,1 Policy design,82.93201133
49,2017,1 Policy design,82.4598678
49,2018,1 Policy design,84.52943028
49,2019,1 Policy design,93.2215927
49,2020,1 Policy design,90.48977022
49,2021,1 Policy design,93.2215927
49,2022,1 Policy design,93.33490715
50,2017,1 Policy design,5.065785332
50,2018,1 Policy design,5.065785332
50,2019,1 Policy design,89.01164621
50,2020,1 Policy design,93.07239534
50,2021,1 Policy design,78.05823104
50,2022,1 Policy design,82.66792572
51,2017,1 Policy design,13.8712622
51,2018,1 Policy design,7.135347812
51,2019,1 Policy design,72.98111426
51,2020,1 Policy design,61.88825936
51,2021,1 Policy design,59.81869688
51,2022,1 Policy design,59.81869688
52,2017,1 Policy design,60.93012276
52,2018,1 Policy design,63.98300283
52,2019,1 Policy design,79.38275102
52,2020,1 Policy design,86.11866541
52,2021,1 Policy design,82.197356
52,2022,1 Policy design,82.66792572
53,2017,1 Policy design,11.85835694
53,2018,1 Policy design,11.85835694
53,2019,1 Policy design,11.85835694
53,2020,1 Policy design,11.85835694
53,2021,1 Policy design,11.85835694
53,2022,1 Policy design,11.21781555
54,2017,1 Policy design,9.126534466
54,2018,1 Policy design,11.85835694
54,2019,1 Policy design,76.52628266
54,2020,1 Policy design,76.52628266
54,2021,1 Policy design,76.52628266
54,2022,1 Policy design,76.52628266
55,2017,1 Policy design,91.05949008
55,2018,1 Policy design,91.00283286
55,2019,1 Policy design,86.33648096
55,2020,1 Policy design,97.8737803
55,2021,1 Policy design,99.88668555
55,2022,1 Policy design,84.85080264
56,2017,1 Policy design,84.28108278
56,2018,1 Policy design,89.08246774
56,2019,1 Policy design,93.15077117
56,2020,1 Policy design,90.47560592
56,2021,1 Policy design,99.94334278
56,2022,1 Policy design,100
57,2017,1 Policy design,68.46521876
57,2018,1 Policy design,79.61473088
57,2019,1 Policy design,84.52943028
57,2020,1 Policy design,81.79760781
57,2021,1 Policy design,84.39439723
57,2022,1 Policy design,95.86087504
58,2017,1 Policy design,9.732137236
58,2018,1 Policy design,23.15675165
58,2019,1 Policy design,29.36543909
58,2020,1 Policy design,34.24960655
58,2021,1 Policy design,23.15675165
58,2022,1 Policy design,23.15675165
59,2017,1 Policy design,0.264400378
59,2018,1 Policy design,2.939565628
59,2019,1 Policy design,24.96411709
59,2020,1 Policy design,24.96411709
59,2021,1 Policy design,24.96411709
59,2022,1 Policy design,24.96411709
60,2017,1 Policy design,2.333962858
60,2018,1 Policy design,2.447277306
60,2019,1 Policy design,87.14856783
60,2020,1 Policy design,87.67579477
60,2021,1 Policy design,87.67579477
60,2022,1 Policy design,80.66540762
61,2017,1 Policy design,7.11362921
61,2018,1 Policy design,7.000314762
61,2019,1 Policy design,7.000314762
61,2020,1 Policy design,7.000314762
61,2021,1 Policy design,70.48788165
61,2022,1 Policy design,70.48788165
62,2017,1 Policy design,11.74504249
62,2018,1 Policy design,15.9974819
