id,year,subdomain,value,WHO_Region
111,2021,2.5 Public awareness,13.98104265,Eastern Mediterranean Region
111,2022,2.5 Public awareness,13.98104265,Eastern Mediterranean Region
112,2017,2.5 Public awareness,22.98578199,South-East Asia Region
112,2018,2.5 Public awareness,22.98578199,South-East Asia Region
112,2019,2.5 Public awareness,22.98578199,South-East Asia Region
112,2020,2.5 Public awareness,22.98578199,South-East Asia Region
112,2021,2.5 Public awareness,31.99052133,South-East Asia Region
112,2022,2.5 Public awareness,31.99052133,South-East Asia Region
113,2017,2.5 Public awareness,11.492891,African Region
113,2018,2.5 Public awareness,11.492891,African Region
113,2019,2.5 Public awareness,11.492891,African Region
113,2020,2.5 Public awareness,11.492891,African Region
113,2021,2.5 Public awareness,15.99526066,African Region
113,2022,2.5 Public awareness,13.98104265,African Region
114,2017,2.5 Public awareness,13.98104265,European Region
114,2018,2.5 Public awareness,13.98104265,European Region
114,2019,2.5 Public awareness,13.98104265,European Region
114,2020,2.5 Public awareness,22.98578199,European Region
114,2021,2.5 Public awareness,22.98578199,European Region
114,2022,2.5 Public awareness,6.990521327,European Region
115,2017,2.5 Public awareness,7.997630332,African Region
115,2018,2.5 Public awareness,7.997630332,African Region
115,2019,2.5 Public awareness,7.997630332,African Region
115,2020,2.5 Public awareness,7.997630332,African Region
115,2021,2.5 Public awareness,7.997630332,African Region
115,2022,2.5 Public awareness,25,African Region
116,2017,2.5 Public awareness,61.492891,African Region
116,2018,2.5 Public awareness,61.492891,African Region
116,2019,2.5 Public awareness,61.492891,African Region
116,2020,2.5 Public awareness,61.492891,African Region
116,2021,2.5 Public awareness,47.98578199,African Region
116,2022,2.5 Public awareness,75,African Region
117,2017,2.5 Public awareness,13.98104265,South-East Asia Region
117,2018,2.5 Public awareness,22.98578199,South-East Asia Region
117,2019,2.5 Public awareness,13.98104265,South-East Asia Region
117,2020,2.5 Public awareness,13.98104265,South-East Asia Region
117,2021,2.5 Public awareness,13.98104265,South-East Asia Region
117,2022,2.5 Public awareness,13.98104265,South-East Asia Region
118,2017,2.5 Public awareness,6.990521327,Region of the Americas
118,2018,2.5 Public awareness,6.990521327,Region of the Americas
118,2019,2.5 Public awareness,13.98104265,Region of the Americas
118,2020,2.5 Public awareness,31.99052133,Region of the Americas
118,2021,2.5 Public awareness,47.98578199,Region of the Americas
118,2022,2.5 Public awareness,20.97156398,Region of the Americas
119,2017,2.5 Public awareness,13.98104265,European Region
119,2018,2.5 Public awareness,6.990521327,European Region
119,2019,2.5 Public awareness,15.99526066,European Region
119,2020,2.5 Public awareness,15.99526066,European Region
119,2021,2.5 Public awareness,13.98104265,European Region
119,2022,2.5 Public awareness,13.98104265,European Region
120,2017,2.5 Public awareness,20.97156398,European Region
120,2018,2.5 Public awareness,20.97156398,European Region
120,2019,2.5 Public awareness,34.47867299,European Region
120,2020,2.5 Public awareness,34.47867299,European Region
120,2021,2.5 Public awareness,34.47867299,European Region
120,2022,2.5 Public awareness,34.47867299,European Region
121,2017,2.5 Public awareness,22.98578199,South-East Asia Region
121,2018,2.5 Public awareness,47.98578199,South-East Asia Region
121,2019,2.5 Public awareness,47.98578199,South-East Asia Region
121,2020,2.5 Public awareness,47.98578199,South-East Asia Region
121,2021,2.5 Public awareness,31.99052133,South-East Asia Region
121,2022,2.5 Public awareness,31.99052133,South-East Asia Region
122,2017,2.5 Public awareness,13.98104265,Region of the Americas
122,2018,2.5 Public awareness,22.98578199,Region of the Americas
122,2019,2.5 Public awareness,22.98578199,Region of the Americas
122,2020,2.5 Public awareness,20.97156398,Region of the Americas
122,2021,2.5 Public awareness,20.97156398,Region of the Americas
122,2022,2.5 Public awareness,6.990521327,Region of the Americas
123,2017,2.5 Public awareness,20.97156398,Region of the Americas
123,2018,2.5 Public awareness,20.97156398,Region of the Americas
123,2019,2.5 Public awareness,20.97156398,Region of the Americas
123,2020,2.5 Public awareness,20.97156398,Region of the Americas
123,2021,2.5 Public awareness,20.97156398,Region of the Americas
123,2022,2.5 Public awareness,13.98104265,Region of the Americas
124,2017,2.5 Public awareness,47.98578199,Western Pacific Region
124,2018,2.5 Public awareness,31.99052133,Western Pacific Region
124,2019,2.5 Public awareness,31.99052133,Western Pacific Region
124,2020,2.5 Public awareness,31.99052133,Western Pacific Region
124,2021,2.5 Public awareness,31.99052133,Western Pacific Region
124,2022,2.5 Public awareness,3.495260664,Western Pacific Region
125,2017,2.5 Public awareness,20.97156398,European Region
125,2018,2.5 Public awareness,20.97156398,European Region
125,2019,2.5 Public awareness,13.98104265,European Region
125,2020,2.5 Public awareness,13.98104265,European Region
125,2021,2.5 Public awareness,20.97156398,European Region
125,2022,2.5 Public awareness,22.98578199,European Region
126,2017,2.5 Public awareness,13.98104265,Western Pacific Region
126,2018,2.5 Public awareness,13.98104265,Western Pacific Region
126,2019,2.5 Public awareness,25,Western Pacific Region
126,2020,2.5 Public awareness,15.99526066,Western Pacific Region
126,2021,2.5 Public awareness,15.99526066,Western Pacific Region
126,2022,2.5 Public awareness,23.992891,Western Pacific Region
127,2017,2.5 Public awareness,6.990521327,African Region
127,2018,2.5 Public awareness,6.990521327,African Region
127,2019,2.5 Public awareness,6.990521327,African Region
127,2020,2.5 Public awareness,6.990521327,African Region
127,2021,2.5 Public awareness,6.990521327,African Region
127,2022,2.5 Public awareness,6.990521327,African Region
128,2017,2.5 Public awareness,25,African Region
128,2018,2.5 Public awareness,25,African Region
128,2019,2.5 Public awareness,25,African Region
128,2020,2.5 Public awareness,25,African Region
128,2021,2.5 Public awareness,12.5,African Region
128,2022,2.5 Public awareness,7.997630332,African Region
129,2017,2.5 Public awareness,0,African Region
129,2018,2.5 Public awareness,0,African Region
129,2019,2.5 Public awareness,0,African Region
129,2020,2.5 Public awareness,0,African Region
129,2021,2.5 Public awareness,0,African Region
129,2022,2.5 Public awareness,0,African Region
130,2017,2.5 Public awareness,22.98578199,Region of the Americas
130,2018,2.5 Public awareness,22.98578199,Region of the Americas
130,2019,2.5 Public awareness,22.98578199,Region of the Americas
130,2020,2.5 Public awareness,6.990521327,Region of the Americas
