"Country_class","ISO3","Country","Year","AMR","traj_class","WHO_Region","Income","Strategic_vision","Multi_sector_engagement","Sustainability","Accountability","AMC_surveillance_system","AMR_surveillance_system","Optimization_antimicrobial","Professional_education","Public_awareness","Hygiene_prevention","Research_innovation","Reporting","Policy_adjustment","Effectiveness"
24,395,395,2020,5.79374368,3,"Region of the Americas","UM",38.17334906,75.88630807,100,100,86.11584327,14.82864675,59.5176781,50,22.98578199,18.65757856,100,79.68397291,0,14.03023383
24,395,395,2021,7.200842107,3,"Region of the Americas","UM",38.17334906,75.88630807,62.64204545,100,86.11584327,41.67398946,59.5176781,50,22.98578199,18.65757856,100,50,0,24.19152415
25,126,126,2017,2.637937964,3,"Region of the Americas","H",89.76533019,75.88630807,69.60227273,100,44.80408859,39.23550088,18.99736148,33.02139037,40.99526066,8.687892791,42.05933682,29.68397291,26.61654135,2.177419355
25,126,126,2018,3.801948321,3,"Region of the Americas","H",89.76533019,75.88630807,69.60227273,100,44.80408859,39.23550088,18.99736148,33.02139037,40.99526066,19.59362292,42.05933682,29.68397291,26.61654135,3.317006126
25,126,126,2019,4.500608198,3,"Region of the Americas","H",89.76533019,75.88630807,69.60227273,100,44.80408859,39.23550088,18.99736148,33.02139037,40.99526066,14.14075786,42.05933682,29.68397291,26.61654135,2.74721274
25,126,126,2020,5.358650966,3,"Region of the Americas","H",89.76533019,75.88630807,69.60227273,100,13.88415673,39.23550088,18.99736148,33.02139037,13.98104265,8.687892791,42.05933682,29.68397291,26.61654135,2.177419355
25,126,126,2021,6.844802693,3,"Region of the Americas","H",89.76533019,75.88630807,69.60227273,100,13.88415673,39.23550088,18.99736148,33.02139037,13.98104265,8.687892791,42.05933682,29.68397291,26.61654135,2.177419355
26,310,310,2017,2.128082546,3,"Western Pacific Region","H",0,0,0.9375,0,72.23168654,29.5254833,25.34195251,33.02139037,13.98104265,18.68068392,0,0,13.4962406,4.320082922
26,310,310,2018,2.727645097,3,"Western Pacific Region","H",0,16.07579462,1.448863636,0,86.11584327,29.5254833,25.34195251,33.02139037,3.495260664,22.97828096,0,0,13.4962406,4.320082922
26,310,310,2019,2.104227107,3,"Western Pacific Region","H",34.49292453,83.92420538,31.98863636,100,86.11584327,29.5254833,25.34195251,33.02139037,3.495260664,22.97828096,21.02966841,50,13.4962406,4.320082922
26,310,310,2020,1.981060478,3,"Western Pacific Region","H",44.72759434,83.92420538,31.98863636,100,86.11584327,29.5254833,25.34195251,33.02139037,13.98104265,22.97828096,21.02966841,79.68397291,13.4962406,12.75326265
26,310,310,2021,1.592788379,3,"Western Pacific Region","H",44.72759434,83.92420538,31.98863636,100,86.11584327,29.5254833,25.34195251,33.02139037,13.98104265,22.97828096,21.02966841,100,13.4962406,12.75326265
28,290,290,2017,2.529158105,3,"African Region","UM",0,8.037897311,0.767045455,0,34.36967632,13.42267135,35.75197889,25,13.98104265,22.97828096,0,0,0,1.709380157
28,290,290,2018,2.470001386,3,"African Region","UM",0,8.037897311,0.767045455,0,34.36967632,13.42267135,35.75197889,25,13.98104265,28.43114603,0,0,0,2.279173543
28,290,290,2019,1.845868687,3,"African Region","UM",0,8.037897311,0.767045455,0,34.36967632,13.42267135,35.75197889,25,13.98104265,28.43114603,0,0,0,2.279173543
28,290,290,2020,2.428369699,3,"African Region","UM",10.23466981,8.037897311,1.193181818,0,27.42759796,13.40070299,35.75197889,25,15.99526066,27.87634011,0,0,0,6.780660097
28,290,290,2021,2.87870277,3,"African Region","UM",10.23466981,0,0.9375,0,27.42759796,16.14674868,26.70976253,25,25,25.55425139,0,0,0,8.947077148
30,381,381,2017,-0.193167668,3,"Region of the Americas","H",44.43278302,41.96210269,31.98863636,48.94671623,86.11584327,44.39806678,54.74934037,33.02139037,40.99526066,26.72107209,100,79.68397291,26.9924812,12.74096926
30,381,381,2018,0.622118972,3,"Region of the Americas","H",44.43278302,41.96210269,31.98863636,48.94671623,86.11584327,44.39806678,54.74934037,33.02139037,31.99052133,26.72107209,100,79.68397291,26.9924812,8.524379398
30,381,381,2019,1.441863142,3,"Region of the Americas","H",44.43278302,41.96210269,62.38636364,48.94671623,86.11584327,44.39806678,63.12664908,50,31.99052133,30.33733826,100,79.68397291,53.60902256,16.95755912
30,381,381,2020,1.683854112,3,"Region of the Americas","H",44.43278302,41.96210269,62.38636364,48.94671623,86.11584327,67.50878735,58.37730871,66.97860963,31.99052133,30.33733826,100,79.68397291,53.60902256,33.81886438
30,381,381,2021,2.156355402,3,"Region of the Americas","H",44.43278302,41.96210269,62.64204545,48.94671623,93.05792164,67.50878735,61.0939314,75,40.99526066,30.33733826,100,79.68397291,76.80451128,47.95414472
38,550,550,2017,3.079332159,3,"Western Pacific Region","H",89.76533019,41.96210269,69.34659091,100,27.76831346,10.76449912,39.24802111,75,75,44.24704251,0,29.68397291,0,52.03002835
38,550,550,2018,3.499905583,3,"Western Pacific Region","H",89.76533019,41.96210269,69.34659091,100,27.76831346,10.76449912,39.24802111,75,75,44.24704251,0,59.36794582,0,52.03002835
38,550,550,2019,4.103396557,3,"Western Pacific Region","H",89.76533019,41.96210269,69.34659091,100,27.76831346,10.76449912,39.24802111,75,75,44.24704251,0,59.36794582,0,52.03002835
38,550,550,2020,4.514463732,3,"Western Pacific Region","H",89.76533019,41.96210269,69.34659091,100,27.76831346,10.76449912,39.24802111,75,75,33.34131238,0,59.36794582,0,50.89044158
38,550,550,2021,4.798058356,3,"Western Pacific Region","H",89.76533019,41.96210269,69.34659091,100,27.76831346,10.76449912,39.24802111,75,75,33.34131238,0,59.36794582,0,50.89044158
40,579,579,2017,3.409077157,3,"African Region","LM",0,8.037897311,0.9375,0,6.942078365,0,0,0,22.98578199,16.35859519,0,0,0,1.709380157
40,579,579,2018,3.956774933,3,"African Region","LM",0,8.037897311,1.704545455,0,0,0,0,25,37.5,22.80471349,0,0,0,11.80922655
40,579,579,2019,3.492372179,3,"African Region","LM",0,8.037897311,1.704545455,0,0,0,0,25,37.5,22.80471349,0,0,0,11.80922655
40,579,579,2020,3.679515425,3,"African Region","LM",0,8.037897311,1.704545455,0,0,0,0,25,37.5,22.80471349,0,0,0,11.80922655
