"Country","Country_class","Year","AMR","traj_class","WHO_Region","Income","Strategic_vision","Multi_sector_engagement","Sustainability","Accountability","AMC_surveillance_system","AMR_surveillance_system","Optimization_antimicrobial","Professional_education","Public_awareness","Hygiene_prevention","Research_innovation","Reporting","Policy_adjustment","Effectiveness"
101,84,2021,8.433941076,2,"European Region","H",0,8.037897311,31.59090909,0,55.19591141,21.48506151,57.12401055,58.02139037,22.98578199,40.51524954,57.94066318,0,53.60902256,35.48288009
10,85,2017,7.010668203,2,"European Region","H",89.76533019,50,54.33238636,75.52664188,41.31175468,48.41827768,53.62796834,66.97860963,13.98104265,31.49260628,100,59.36794582,40.11278195,32.94641008
10,85,2018,7.861189053,2,"European Region","H",89.76533019,50,54.33238636,75.52664188,41.31175468,48.41827768,53.62796834,66.97860963,6.990521327,29.42439926,100,79.68397291,40.11278195,32.94641008
10,85,2019,9.775664774,2,"European Region","H",89.76533019,50,54.33238636,75.52664188,86.11584327,45.71616872,53.62796834,66.97860963,20.97156398,29.42439926,100,79.68397291,40.11278195,48.27283097
10,85,2020,11.41015321,2,"European Region","H",100,50,84.73011364,75.52664188,100,51.09841828,53.62796834,66.97860963,34.47867299,29.42439926,100,79.68397291,53.60902256,56.92490471
10,85,2021,12.82880892,2,"European Region","H",89.76533019,41.96210269,47.11647727,75.52664188,100,33.67750439,46.50395778,75,20.97156398,22.80471349,100,79.68397291,40.11278195,60.26544775
443,91,2017,2.776531895,2,"European Region","LM",0,8.037897311,31.59090909,0,48.25383305,14.74077329,18.21794195,41.97860963,29.97630332,29.34408503,0,0,26.9924812,10.898647
443,91,2018,5.58969948,2,"European Region","LM",0,8.037897311,1.448863636,0,34.36967632,12.06063269,18.21794195,25,12.5,34.02292052,0,0,26.9924812,5.846320574
443,91,2019,6.538172736,2,"European Region","LM",10.23466981,32.15158924,31.59090909,0,34.36967632,22.86906854,25.34195251,25,11.492891,40.37634011,0,0,53.60902256,5.846320574
443,91,2020,7.961240012,2,"European Region","LM",10.23466981,8.037897311,31.33522727,0,41.31175468,22.86906854,22.62532982,41.04278075,34.47867299,29.86340111,0,0,53.60902256,28.62493197
443,91,2021,8.901990838,2,"European Region","LM",31.01415094,24.11369193,69.20454545,0,86.11584327,29.5913884,25,25,31.99052133,22.56238447,0,0,40.11278195,12.88977262
105,93,2017,5.62307166,2,"Region of the Americas","H",10.23466981,32.15158924,1.704545455,0,27.42759796,8.084358524,27.37467018,66.97860963,25,25.55425139,0,0,0,7.769287991
105,93,2018,6.068986463,2,"Region of the Americas","H",10.23466981,32.15158924,1.704545455,0,27.42759796,8.084358524,27.37467018,66.97860963,25,25.55425139,0,0,0,7.769287991
105,93,2019,6.940182505,2,"Region of the Americas","H",10.23466981,32.15158924,1.704545455,0,27.42759796,8.084358524,27.37467018,66.97860963,25,25.55425139,0,0,0,7.769287991
105,93,2020,9.017669537,2,"Region of the Americas","H",10.23466981,32.15158924,1.704545455,0,27.42759796,8.084358524,27.37467018,66.97860963,25,25.55425139,0,0,0,7.769287991
105,93,2021,10.3107711,2,"Region of the Americas","H",10.23466981,32.15158924,1.704545455,0,27.42759796,8.084358524,27.37467018,66.97860963,25,25.55425139,0,0,0,7.769287991
261,101,2017,4.964784392,2,"South-East Asia Region","LM",89.76533019,82.15158924,69.09090909,75.52664188,34.36967632,30.9314587,8.377308707,83.95721925,56.99052133,25.04648799,42.05933682,29.68397291,26.61654135,29.99469809
261,101,2018,5.938147676,2,"South-East Asia Region","LM",100,82.15158924,69.34659091,75.52664188,79.17376491,30.9314587,22.62532982,66.97860963,63.98104265,29.34408503,42.05933682,50,26.61654135,29.99469809
261,101,2019,6.788547609,2,"South-East Asia Region","LM",89.76533019,74.11369193,69.60227273,75.52664188,93.05792164,25.52724077,22.62532982,66.97860963,31.99052133,33.4681146,42.05933682,79.68397291,26.61654135,25.69362282
261,101,2020,8.053808203,2,"South-East Asia Region","LM",89.76533019,58.03789731,69.60227273,75.52664188,41.31175468,25.52724077,27.37467018,50,22.98578199,32.8676525,42.05933682,79.68397291,26.61654135,14.01159517
